id,title,poster_url,year,duration,age_rating,star_rating,num_ratings,description,preprocessed_description
1,The Shawshank Redemption,"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX280_CR0,3,280,414_.jpg",1994,2h 22m,R,9.3,2.9M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","course years , convicts form friendship , seeking consolation , eventually , redemption basic compassion ."
2,The Godfather,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY414_CR6,0,280,414_.jpg",1972,2h 55m,R,9.2,2M,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,aging patriarch organized crime dynasty transfers control clandestine empire reluctant son .
3,The Chaos Class,"https://m.media-amazon.com/images/M/MV5BMGRjOGJhNDctZWYyNi00YzE1LWIwMGQtNTI1MDU1OTNmZjhlXkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_QL75_UX280_CR0,3,280,414_.jpg",1975,1h 27m,R,9.2,43K,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.","Lazy , uneducated students share close bond . live dormitory , plan latest pranks . new headmaster arrives , students naturally try overthrow . comic war nitwits follows ."
4,The Dark Knight,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2008,2h 32m,PG-13,9.0,2.9M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","menace known Joker wreaks havoc chaos people Gotham , Batman accept greatest psychological physical tests ability fight injustice ."
5,The Lord of the Rings: The Return of the King,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX280_CR0,0,280,414_.jpg",2003,3h 21m,PG-13,9.0,2M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Gandalf Aragorn lead World Men Sauron army draw gaze Frodo Sam approach Mount Doom Ring .
6,Schindler's List,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX280_CR0,3,280,414_.jpg",1993,3h 15m,R,9.0,1.5M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","German - occupied Poland World War II , industrialist Oskar Schindler gradually concerned Jewish workforce witnessing persecution Nazis ."
7,12 Angry Men,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX280_CR0,8,280,414_.jpg",1957,1h 36m,Approved,9.0,871K,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,jury New York City murder trial frustrated single member skeptical caution forces carefully consider evidence jumping hasty verdict .
8,The Godfather Part II,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY414_CR6,0,280,414_.jpg",1974,3h 22m,R,9.0,1.4M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","early life career Vito Corleone 1920s New York City portrayed , son , Michael , expands tightens grip family crime syndicate ."
9,CM101MMXI Fundamentals,"https://m.media-amazon.com/images/M/MV5BMjE0Njc3MDQ5MV5BMl5BanBnXkFtZTcwNzIwNTQ5OA@@._V1_QL75_UY414_CR5,0,280,414_.jpg",2013,2h 19m,R,9.0,47K,"The funny little details of everyday life; the simple things that makes us laugh. An unforgettable performance from Cem Yilmaz. Yilmaz captures the audience with his hilarious stories about relationships, humankind's struggle with the technology and professional life. Yilmaz proves us that a food delivery or even a funeral might be amusing when considered correctly.","funny little details everyday life ; simple things makes laugh . unforgettable performance Cem Yilmaz . Yilmaz captures audience hilarious stories relationships , humankind struggle technology professional life . Yilmaz proves food delivery funeral amusing considered correctly ."
10,The Lord of the Rings: The Fellowship of the Ring,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX280_CR0,1,280,414_.jpg",2001,2h 58m,PG-13,8.9,2M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,meek Hobbit Shire companions set journey destroy powerful Ring save Middle - earth Dark Lord Sauron .
11,Pulp Fiction,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY414_CR2,0,280,414_.jpg",1994,2h 34m,R,8.9,2.2M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","lives mob hitmen , boxer , gangster wife , pair diner bandits intertwine tales violence redemption ."
12,12th Fail,"https://m.media-amazon.com/images/M/MV5BZDI4OTM1ZjMtOWQxMC00OTY5LTg3NjQtMjlhMWVjODFlYTY4XkEyXkFqcGdeQXVyMTYzMTU3Njgx._V1_QL75_UY414_CR18,0,280,414_.jpg",2023,2h 27m,R,8.9,119K,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,real - life story IPS Officer Manoj Kumar Sharma IRS Officer Shraddha Joshi .
13,O.J.: Made in America,"https://m.media-amazon.com/images/M/MV5BNGNmYmY3OTktMWM1Ni00NTU1LTk0ZjctMDcwYjViMjY0MTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX280_CR0,0,280,414_.jpg",2016,7h 47m,TV-MA,8.9,22K,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.","chronicle rise fall O.J. Simpson , high - profile murder trial exposed extent American racial tensions , revealing fractured divided nation ."
14,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"https://m.media-amazon.com/images/M/MV5BODQyMTI4MTEtYWVjYy00NTM3LWFhYmUtZDNlZDVlZDAzY2M1XkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_QL75_UX280_CR0,3,280,414_.jpg",2021,1h 27m,TV-MA,8.9,25K,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,Tanjiro ventures south - southeast encounters cowardly young man named Zenitsu Agatsuma . fellow survivor Final Selection sparrow asks Tanjiro help line .
15,Mirror Game,"https://m.media-amazon.com/images/M/MV5BOTQzYjk2ZTYtM2FhNi00ODQ1LWI0YWYtZDVhMzRiN2ZlMzQ5XkEyXkFqcGdeQXVyMTE3MzIyMDM5._V1_QL75_UX280_CR0,12,280,414_.jpg",2016,2h 27m,TV-MA,8.9,30K,"A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life.","struggling actor professional impostor , hired impersonate people financial gain , delves deeper work embroiled trouble threatens unravel life ."
16,Tosun Pasa,"https://m.media-amazon.com/images/M/MV5BM2VhZjkxZDAtOTQwMC00Yjk0LTgyOTQtNzQ3YzQ4NGFmOGI5XkEyXkFqcGdeQXVyMjQ2OTI2MzU@._V1_QL75_UY414_CR16,0,280,414_.jpg",1976,1h 30m,TV-MA,8.9,25K,"Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter, Leyla. Both families try to arrange a marriage between a man from their family and Leyla.","traditionally rival Turkish families , "" Seferoglu""s "" Tellioglu""s competing "" Green Valley "" . winner determined Daver Bey , beautiful young daughter , Leyla . families try arrange marriage man family Leyla ."
17,The Chaos Class Failed the Class,"https://m.media-amazon.com/images/M/MV5BMTIwYTdmZWEtOGZhMS00NTg4LTgwN2EtODFhOTBjNWFlZWI3XkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_QL75_UX280_CR0,3,280,414_.jpg",1975,1h 35m,TV-MA,8.9,25K,A young and beautiful female teacher starts working in an all boys high school.,young beautiful female teacher starts working boys high school .
18,Chandu Champion,"https://m.media-amazon.com/images/M/MV5BZDAxMmU3NGUtMGEyZC00ZGQ5LTk1ZjEtZGU2YmI0MjUzNWVmXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg",2024,2h 22m,TV-MA,8.8,21K,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.,man faced adversary undying spirit . unwavering zeal attitude led India individual gold medal form Olympics .
19,Inception,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2010,2h 28m,PG-13,8.8,2.6M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","thief steals corporate secrets use dream - sharing technology given inverse task planting idea mind C.E.O. , tragic past doom project team disaster ."
20,Fight Club,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX280_CR0,3,280,414_.jpg",1999,2h 19m,R,8.8,2.3M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,insomniac office worker devil - - care soap maker form underground fight club evolves .
21,Forrest Gump,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY414_CR3,0,280,414_.jpg",1994,2h 22m,PG-13,8.8,2.3M,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","history United States 1950s ' 70s unfolds perspective Alabama man IQ 75 , yearns reunited childhood sweetheart ."
22,The Lord of the Rings: The Two Towers,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX280_CR0,11,280,414_.jpg",2002,2h 59m,PG-13,8.8,1.8M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Frodo Sam edge closer Mordor help shifty Gollum , divided fellowship makes stand Sauron new ally , Saruman , hordes Isengard ."
23,"The Good, the Bad and the Ugly","https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX280_CR0,3,280,414_.jpg",1966,2h 58m,R,8.8,815K,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,bounty hunting scam joins men uneasy alliance race find fortune gold buried remote cemetery .
24,Süt Kardesler,"https://m.media-amazon.com/images/M/MV5BMjE0ODFiMDYtMWI2NC00MjcxLThhMzUtMTBlNmNlMTE3ZDI4XkEyXkFqcGdeQXVyNTczMjA3ODg@._V1_QL75_UX280_CR0,3,280,414_.jpg",1976,1h 20m,R,8.8,21K,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is married to Hüsamettin's niece stays at Hüsamettin's family residence.","Saban , Ramazan Bayram sailors Ottoman Navy Hüsamettin commander . Hüsamettin aide Ramazan , Saban foster son Hüsamettin sister Bayram married Hüsamettin niece stays Hüsamettin family residence ."
25,Interstellar,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX280_CR0,0,280,414_.jpg",2014,2h 49m,PG-13,8.7,2.1M,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Earth uninhabitable future , farmer ex - NASA pilot , Joseph Cooper , tasked pilot spacecraft , team researchers , find new planet humans ."
26,The Matrix,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX280_CR0,3,280,414_.jpg",1999,2h 16m,R,8.7,2.1M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","beautiful stranger leads computer hacker Neo forbidding underworld , discovers shocking truth -- life knows elaborate deception evil cyber - intelligence ."
27,Goodfellas,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX280_CR0,2,280,414_.jpg",1990,2h 25m,R,8.7,1.3M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","story Henry Hill life mafia , covering relationship wife Karen mob partners Jimmy Conway Tommy DeVito ."
28,One Flew Over the Cuckoo's Nest,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,1,280,414_.jpg",1975,2h 13m,R,8.7,1.1M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","Fall 1963 , Korean War veteran criminal pleads insanity admitted mental institution , rallies scared patients tyrannical nurse ."
29,Star Wars: Episode V - The Empire Strikes Back,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX280_CR0,11,280,414_.jpg",1980,2h 4m,PG,8.7,1.4M,"After the Rebel Alliance are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Rebel Alliance overpowered Empire , Luke Skywalker begins Jedi training Yoda , friends pursued galaxy Darth Vader bounty hunter Boba Fett ."
30,Jai Bhim,"https://m.media-amazon.com/images/M/MV5BNzFkM2FhMzQtYjUwZi00N2Y3LWFkZWItMmZmMjQxNGQwZmNhXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_QL75_UY414_CR26,0,280,414_.jpg",2021,2h 44m,Approved,8.7,218K,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","tribal man arrested case alleged theft , wife turns human - rights lawyer help bring justice ."
31,Stop Making Sense,"https://m.media-amazon.com/images/M/MV5BZTkyY2UzNGMtOTE3My00OWE0LThmMjItZTVhNDQ5YzcxN2YxXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_QL75_UX280_CR0,6,280,414_.jpg",1984,1h 28m,PG,8.7,21K,"Considered by critics as the greatest concert film of all time, the live performance was shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and features Talking Heads' most memorable songs.","Considered critics greatest concert film time , live performance shot course nights Hollywood Pantages Theater December 1983 features Talking Heads ' memorable songs ."
32,Nayakan,"https://m.media-amazon.com/images/M/MV5BNzEyZTFmZTItYWU2My00ZWZkLTg2NWMtMTEwYmM5YzFmNzFhXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX280_CR0,3,280,414_.jpg",1987,2h 25m,Not Rated,8.7,24K,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.","common man struggles corrupt police force wrong law . don , loved respected , growing power influence exact heavy toll ."
33,Soorarai Pottru,"https://m.media-amazon.com/images/M/MV5BOGVjYmM0ZWEtNTFjNi00MWZjLTk3OTItMmFjMDAzZWU1ZDVjXkEyXkFqcGdeQXVyMTI2Mzk1ODg0._V1_QL75_UX280_CR0,26,280,414_.jpg",2020,2h 33m,TV-MA,8.7,124K,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","Nedumaaran Rajangam "" Maara "" sets common man fly process takes world capital intensive industry enemies stand way ."
34,777 Charlie,"https://m.media-amazon.com/images/M/MV5BMDhhMjBlMWYtMDVlMy00ZjM3LTg3MTUtZDg0NjA0YzcxOGY4XkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_QL75_UX280_CR0,0,280,414_.jpg",2022,2h 44m,TV-MA,8.7,40K,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,Dharma stuck rut negative lonely lifestyle spends day comfort loneliness . pup named Charlie enters life gives new perspective .
35,Rocketry: The Nambi Effect,"https://m.media-amazon.com/images/M/MV5BNTk2MjUxMjEtZDU5OC00MzYxLTkwMWYtMGM5YWQ0MWMyN2I1XkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_QL75_UX280_CR0,0,280,414_.jpg",2022,2h 37m,Not Rated,8.7,59K,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.","story Indian Space Research Organization scientist Nambi Narayanan , framed spy arrested 1994 ."
36,The Chaos Class Is Waking Up,"https://m.media-amazon.com/images/M/MV5BMjQ0MTNmYTktOTdiNS00MjA1LWJiZjYtODJhN2U4YmNhNDc0XkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_QL75_UX280_CR0,3,280,414_.jpg",1976,1h 34m,Not Rated,8.7,21K,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,kind hardworking student joins Hababam Sinifi ( Chaos Class ) accept target class ' pranks .
37,Dune: Part Two,"https://m.media-amazon.com/images/M/MV5BN2QyZGU4ZDctOWMzMy00NTc5LThlOGQtODhmNDI1NmY5YzAwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2024,2h 46m,PG-13,8.6,450K,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,Paul Atreides unites Chani Fremen seeking revenge conspirators destroyed family .
38,The Green Mile,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX280_CR0,0,280,414_.jpg",1999,3h 9m,R,8.6,1.4M,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.","tale set death row , gentle giant John Coffey possesses mysterious power heal people ailments . lead guard , Paul Edgecombe , recognizes John gift , tries help stave condemned man execution ."
39,Saving Private Ryan,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY414_CR1,0,280,414_.jpg",1998,2h 49m,R,8.6,1.5M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Following Normandy Landings , group U.S. soldiers enemy lines retrieve paratrooper brothers killed action ."
40,Se7en,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX280_CR0,12,280,414_.jpg",1995,2h 7m,R,8.6,1.8M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","detectives , rookie veteran , hunt serial killer uses seven deadly sins motives ."
41,Spider-Man: Across the Spider-Verse,"https://m.media-amazon.com/images/M/MV5BMzI0NmVkMjEtYmY4MS00ZDMxLTlkZmEtMzU4MDQxYTMzMjU2XkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_QL75_UX280_CR0,1,280,414_.jpg",2023,2h 20m,PG,8.6,380K,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Miles Morales catapults multiverse , encounters team Spider - People charged protecting existence . heroes clash handle new threat , Miles redefine means hero ."
42,The Silence of the Lambs,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY414_CR1,0,280,414_.jpg",1991,1h 58m,R,8.6,1.6M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","young F.B.I. cadet receive help incarcerated manipulative cannibal killer help catch serial killer , madman skins victims ."
43,Star Wars: Episode IV - A New Hope,"https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_QL75_UX280_CR0,7,280,414_.jpg",1977,2h 1m,PG,8.6,1.5M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Luke Skywalker joins forces Jedi Knight , cocky pilot , Wookiee droids save galaxy Empire world - destroying battle station , attempting rescue Princess Leia mysterious Darth Vader ."
44,Terminator 2: Judgment Day,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX280_CR0,1,280,414_.jpg",1991,2h 17m,R,8.6,1.2M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","cyborg , identical failed kill Sarah Connor , protect year old son John advanced powerful cyborg ."
45,Spirited Away,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX280_CR0,0,280,414_.jpg",2001,2h 5m,PG,8.6,856K,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.","family suburbs , sullen 10 - year - old girl wanders world ruled gods , witches spirits , humans changed beasts ."
46,City of God,"https://m.media-amazon.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY414_CR1,0,280,414_.jpg",2002,2h 10m,R,8.6,805K,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","slums Rio , kids ' paths diverge struggles photographer kingpin ."
47,Life Is Beautiful,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,2,280,414_.jpg",1997,1h 56m,PG-13,8.6,747K,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","open - minded Jewish waiter son victims Holocaust , uses perfect mixture , humor imagination protect son dangers camp ."
48,Seven Samurai,"https://m.media-amazon.com/images/M/MV5BNTkwY2I5NWMtMjNlNi00ZThjLWI4NzQtNDI4M2I4OGM1YjAzXkEyXkFqcGdeQXVyNzYxODE3NTQ@._V1_QL75_UY414_CR7,0,280,414_.jpg",1954,3h 27m,Not Rated,8.6,369K,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Farmers village exploited bandits hire veteran samurai protection , gathers samurai join ."
49,It's a Wonderful Life,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_QL75_UY414_CR3,0,280,414_.jpg",1946,2h 10m,PG,8.6,501K,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,angel sent Heaven help desperately frustrated businessman showing life like existed .
50,Harakiri,"https://m.media-amazon.com/images/M/MV5BMWNmYzg5NWYtNzhiMS00NzlkLTgyOTUtYzM3MjY0NDc2YjFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY414_CR4,0,280,414_.jpg",1962,2h 13m,Not Rated,8.6,70K,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","ronin requesting seppuku feudal lord palace told brutal suicide ronin previously visited , reveals pasts intertwined - challenges clan integrity ."
51,20 Days in Mariupol,"https://m.media-amazon.com/images/M/MV5BZWRiNWRiZjAtYWFhMS00MWE5LTk0OTQtMzIxNzc0YmVmZGEwXkEyXkFqcGdeQXVyMzAyMzE2MzM@._V1_QL75_UX280_CR0,0,280,414_.jpg",2023,1h 35m,TV-PG,8.6,21K,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.","Russian invasion begins , team Ukrainian journalists trapped besieged city Mariupol struggle continue work documenting war atrocities ."
52,The Kashmir Files,"https://m.media-amazon.com/images/M/MV5BYzJkZDIwYTAtMGU4Mi00NzU3LWI1MWItODg0M2Q1NmIxYmNlXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_QL75_UY414_CR26,0,280,414_.jpg",2022,2h 50m,Not Rated,8.6,574K,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.","heart - wrenching tale captures pain , suffering , struggle Kashmiri Pandit community 1990 leads Krishna , young college student , set quest uncover truth ."
