id,title,poster_url,year,duration,age_rating,star_rating,num_ratings,description,preprocessed_description
6333,Kill Me Three Times,"https://m.media-amazon.com/images/M/MV5BMTQ0ODcxMjc1Ml5BMl5BanBnXkFtZTgwNDI4OTg1NDE@._V1_QL75_UX280_CR0,0,280,414_.jpg",2014,1h 30m,R,5.8,24K,"Professional hit-man Charlie Wolfe finds himself in three tales of murder, blackmail and revenge after a botched contract assignment.","Professional hit - man Charlie Wolfe finds tales murder , blackmail revenge botched contract assignment ."
6334,A Christmas Prince,"https://m.media-amazon.com/images/M/MV5BNWMzZTE4NTYtOGRiNi00YzQ2LWJiNjctMzk1NDU4NmY5ZGQwXkEyXkFqcGdeQXVyODIyMzA4NDc@._V1_QL75_UY414_CR1,0,280,414_.jpg",2017,1h 32m,TV-PG,5.8,22K,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?","reporter goes undercover tutor inside scoop playboy prince , gets tangled royal intrigue ends finding love - able lie ?"
6335,Gehraiyaan,"https://m.media-amazon.com/images/M/MV5BOGRhZmVhMzQtYWRhZC00MDYwLTlmMTMtZGNhYzgzOTZlZmMyXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_QL75_UY414_CR26,0,280,414_.jpg",2022,2h 28m,TV-PG,5.8,44K,Takes you on a journey into the deep rooted intricacies of modern human relationships.,Takes journey deep rooted intricacies modern human relationships .
6336,Bholaa,"https://m.media-amazon.com/images/M/MV5BNTI1NGI5ZTItZjJhNC00NDQyLWE1YmMtMTMwZmJiNTNjYWZjXkEyXkFqcGdeQXVyNDYwMjI1MzI@._V1_QL75_UY414_CR16,0,280,414_.jpg",2023,2h 24m,Not Rated,5.8,23K,"After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust.","getting prison desire meet daughter , Bholaa plans interrupted - orchestrated drug bust ."
6337,Rowdy Rathore,"https://m.media-amazon.com/images/M/MV5BY2UyOTI0YWItMTlmYy00ZGU2LTlmZmMtY2YyNTU2MmViM2EyXkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_QL75_UY414_CR5,0,280,414_.jpg",2012,2h 20m,Not Rated,5.8,24K,"A con man uncovers a deadly secret and must save his lady love, the small-town locals and the little girl who insists she's his daughter, from the mob.","con man uncovers deadly secret save lady love , small - town locals little girl insists daughter , mob ."
6338,Argylle,"https://m.media-amazon.com/images/M/MV5BZDM3YTg4MGUtZmUxNi00YmEyLTllNTctNjYyNjZlZGViNmFhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX280_CR0,14,280,414_.jpg",2024,2h 19m,PG-13,5.7,75K,"A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real time.","reclusive author writes espionage novels secret agent global spy syndicate realizes plot new book writing starts mirror real - world events , real time ."
6339,Sister Act 2: Back in the Habit,"https://m.media-amazon.com/images/M/MV5BMmM0YjY5YjctYzljMy00ODcxLWI3ZDItMmE1MGU5YTI5MzI3XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_QL75_UX280_CR0,2,280,414_.jpg",1993,1h 47m,PG,5.7,59K,Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,Showgirl Deloris Van Cartier returns Sister Mary Clarence teach music group Catholic students run - school slated closure .
6340,Planet of the Apes,"https://m.media-amazon.com/images/M/MV5BY2RlMDhlY2MtMjQ1Zi00NzI5LTgxOTgtZjliNWMzYTY3NWZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",2001,2h,PG-13,5.7,233K,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.","2029 , Air Force astronaut crash - lands mysterious planet evolved , talking apes dominate race primitive humans ."
6341,Spaceman,"https://m.media-amazon.com/images/M/MV5BMGMyNDg2ZjItMzk5MC00NzJmLTlmMDgtMmFjNjFmODg5ZTY5XkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX280_CR0,3,280,414_.jpg",2024,1h 47m,R,5.7,35K,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship.","Half year solo mission edge solar system , astronaut concerned state life Earth helped ancient creature discovers bowels ship ."
6342,Fast X,"https://m.media-amazon.com/images/M/MV5BNzZmOTU1ZTEtYzVhNi00NzQxLWI5ZjAtNWNhNjEwY2E3YmZjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX280_CR0,14,280,414_.jpg",2023,2h 21m,PG-13,5.7,121K,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,Dom Toretto family targeted vengeful son drug kingpin Hernan Reyes .
6343,The Matrix Resurrections,"https://m.media-amazon.com/images/M/MV5BMGJkNDJlZWUtOGM1Ny00YjNkLThiM2QtY2ZjMzQxMTIxNWNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2021,2h 28m,R,5.7,282K,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.","Return world realities : , everyday life ; , lies . find reality construct , truly know , Mr. Anderson choose follow white rabbit ."
6344,The Meg,"https://m.media-amazon.com/images/M/MV5BMTAxMGRmODYtM2NkYS00ZGRlLWE1MWItYjI1MzIwNjQwN2RiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX280_CR0,0,280,414_.jpg",2018,1h 53m,PG-13,5.7,209K,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,group scientists exploring Marianas Trench encounter largest marine predator existed - Megalodon .
6345,Allegiant,"https://m.media-amazon.com/images/M/MV5BNjk2OTc5YzQtMjAwMS00YWY4LTk1ZWItOTgyMmRkMGU4ZmY1XkEyXkFqcGdeQXVyMzQ1MzUwMTE@._V1_QL75_UY414_CR11,0,280,414_.jpg",2016,2h,PG-13,5.7,135K,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.","earth - shattering revelations Insurgent , Tris escape wall encircles Chicago , finally discover shocking truth world ."
6346,Coyote Ugly,"https://m.media-amazon.com/images/M/MV5BZWZhZmFkMjQtMWYyMC00NmQ3LTk5M2MtZDU3ZjNjYmM0ZTYxXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_QL75_UX280_CR0,3,280,414_.jpg",2000,1h 40m,PG-13,5.7,121K,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.","Aspiring songwriter Violet Sanford , getting job women - run NYC bar teases male patrons , comes shell ."
6347,Heart of Stone,"https://m.media-amazon.com/images/M/MV5BMTJhYjI1N2ItM2E4MC00ZmYzLTk2YzYtNTE5YTM1MDU0NjRiXkEyXkFqcGdeQXVyMTMxNjYyMTgw._V1_QL75_UX280_CR0,0,280,414_.jpg",2023,2h 2m,PG-13,5.7,60K,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable and dangerous weapon.,intelligence operative shadowy global peacekeeping agency races stop hacker stealing valuable dangerous weapon .
6348,Ice Age: Collision Course,"https://m.media-amazon.com/images/M/MV5BMTUwMTk2ODc1OV5BMl5BanBnXkFtZTgwMzU4MzgzOTE@._V1_QL75_UX280_CR0,0,280,414_.jpg",2016,1h 34m,PG,5.7,76K,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.","Scrat acorn sends asteroid Earth , Herd find way stop asteroid hitting Earth help returning friend ."
6349,Sex and the City,"https://m.media-amazon.com/images/M/MV5BODZlODUzMWMtZDA4ZS00YjI3LWIxZmEtZWZiZDkxMjc3MTM5XkEyXkFqcGdeQXVyMjIzMTQzNDE@._V1_QL75_UY414_CR6,0,280,414_.jpg",2008,2h 25m,R,5.7,128K,A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,New York City writer sex love finally getting married Mr. Big . best girlfriends console inadvertently leads Mr. Big jilt .
6350,Your Place or Mine,"https://m.media-amazon.com/images/M/MV5BYjcxY2QwZmMtNjE1MS00OGU2LWJiMjYtOTc3ZTk5NmI2ODc1XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_QL75_UX280_CR0,0,280,414_.jpg",2023,1h 49m,PG-13,5.7,40K,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,long - distance best friends change lives decides pursue lifelong dream volunteers eye teenage son .
6351,Bubble Boy,"https://m.media-amazon.com/images/M/MV5BMTUwYjczNmItYzczNS00MDQwLTkxNDctN2MwYzI5YzhmNGU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,1,280,414_.jpg",2001,1h 24m,PG-13,5.7,35K,Bubble Boy's been in a bubble all his life due to no immune system. A cute blonde girl befriends BB. Her boyfriend proposes and BB decides to travel across USA to Niagara Falls to stop the wedding.,Bubble Boy bubble life immune system . cute blonde girl befriends BB . boyfriend proposes BB decides travel USA Niagara Falls stop wedding .
6352,X-Men: Dark Phoenix,"https://m.media-amazon.com/images/M/MV5BMmZmYTgwZGItNDIxMS00MmRkLWEzODQtYTllNzM0ZWE1NmQ5XkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_QL75_UX280_CR0,0,280,414_.jpg",2019,1h 53m,PG-13,5.7,207K,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to have to decide if her life is worth more than all of humanity.","Jean Grey begins develop incredible powers corrupt turn Dark Phoenix , causing X - Men decide life worth humanity ."
6353,Alien vs. Predator,"https://m.media-amazon.com/images/M/MV5BMTU4MjIwMTcyMl5BMl5BanBnXkFtZTYwMTYwNDA3._V1_QL75_UX280_CR0,0,280,414_.jpg",2004,1h 41m,PG-13,5.7,213K,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.","archaeological expedition Bouvetøya Island Antarctica , team archaeologists scientists find caught battle legends . Soon , team realize species win ."
6354,The Purge,"https://m.media-amazon.com/images/M/MV5BMTQzNTcwODEyM15BMl5BanBnXkFtZTcwMjM1MDI0OQ@@._V1_QL75_UX280_CR0,14,280,414_.jpg",2013,1h 25m,R,5.7,241K,"A wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal.","wealthy family held hostage harboring target murderous syndicate Purge , 12 - hour period crime legal ."
6355,Mechanic: Resurrection,"https://m.media-amazon.com/images/M/MV5BMjYwODExNzUwMV5BMl5BanBnXkFtZTgwNTgwNjUyOTE@._V1_QL75_UX280_CR0,0,280,414_.jpg",2016,1h 38m,R,5.7,94K,Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.,Bishop formidable foe kidnaps love life order complete impossible assassinations look like accidents .
6356,Murder Mystery 2,"https://m.media-amazon.com/images/M/MV5BMzkyMjU1ZjMtMDJlMS00M2YzLWJhZDQtYjFjZTUyMzI2MDViXkEyXkFqcGdeQXVyMzQyMDgzOTU@._V1_QL75_UX280_CR0,3,280,414_.jpg",2023,1h 30m,PG-13,5.7,70K,Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.,- time detectives Nick Audrey struggling private eye agency ground . find center international abduction friend Maharaja kidnapped lavish wedding .
6357,Jawbreaker,"https://m.media-amazon.com/images/M/MV5BOTcwZWZkZWUtZjRhMi00ZDNhLTljOWItNjBkNzIwYTA0YWQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,2,280,414_.jpg",1999,1h 26m,R,5.7,29K,Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.,popular girls Reagan High accidentally kill prom queen jawbreaker kidnapping goes horribly wrong .
6358,John Tucker Must Die,"https://m.media-amazon.com/images/M/MV5BOGIxZTkzMjItZDhiNy00NzA0LTg1MzMtYzFlMTc1ODQzODIzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX280_CR0,0,280,414_.jpg",2006,1h 29m,PG-13,5.7,88K,Three ex-girlfriends of a serial cheater set up their former lover to fall for the new girl in town so they can watch him get his heart broken.,ex - girlfriends serial cheater set lover fall new girl town watch heart broken .
6359,Memory,"https://m.media-amazon.com/images/M/MV5BOGI5N2FhNzktZjZlNi00MmRjLWE1MmUtNjRlNzQyOGMzYjNhXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2022,1h 54m,R,5.7,36K,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization.,assassin - - hire finds target refuses complete job dangerous criminal organization .
6360,Hitman: Agent 47,"https://m.media-amazon.com/images/M/MV5BMjc2ODU1YWYtOGU1MS00ODQ3LTg1YmUtYmRmNjZmNzNiMjA4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX280_CR0,0,280,414_.jpg",2015,1h 36m,R,5.7,96K,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,assassin teams woman help find father uncover mysteries ancestry .
6361,Fantastic Four,"https://m.media-amazon.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,0,280,414_.jpg",2005,1h 46m,PG-13,5.7,345K,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.","group astronauts gain superpowers cosmic radiation exposure use oppose plans enemy , Doctor Victor Von Doom ."
6362,The Marksman,"https://m.media-amazon.com/images/M/MV5BODdlNThhMTUtNmU1OS00ZjM3LWE1ZjMtOWViN2RhYWRiZTg5XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2021,1h 48m,PG-13,5.7,44K,A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.,rancher Arizona border unlikely defender young Mexican boy desperately fleeing cartel assassins pursued U.S.
6363,Security,"https://m.media-amazon.com/images/M/MV5BZmI4OGE0MTktOTQ3ZC00ZDlhLTg1OGMtMjRiMTMwNzgzZDIyXkEyXkFqcGdeQXVyNjc4Nzk3NzU@._V1_QL75_UY414_CR7,0,280,414_.jpg",2017,1h 28m,R,5.7,23K,A security guard protects an eleven year-old girl who is being targeted by a gang for participating as a trial witness.,security guard protects year - old girl targeted gang participating trial witness .
6364,The Three Musketeers,"https://m.media-amazon.com/images/M/MV5BMTM3OTc2OTM2OF5BMl5BanBnXkFtZTcwMDM1MjU1NQ@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2011,1h 50m,PG-13,5.7,112K,The hot-headed young D'Artagnan along with three former legendary but now down-on-their-luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,hot - headed young D'Artagnan legendary - - - luck Musketeers unite defeat beautiful double agent villainous employer seizing French throne engulfing Europe war .
6365,Pet Sematary,"https://m.media-amazon.com/images/M/MV5BOTE2ODNlYTMtOTdlNi00MWVlLThkYzQtY2QyOWRlZmYyOGNmXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UX280_CR0,3,280,414_.jpg",2019,1h 40m,R,5.7,99K,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.","Dr. Louis Creed wife , Rachel , relocate Boston rural Maine young children . couple soon discover mysterious burial ground hidden deep woods near new home ."
6366,Jeepers Creepers 2,"https://m.media-amazon.com/images/M/MV5BMTIxNDI2NzQyNF5BMl5BanBnXkFtZTYwMTY5MTQ3._V1_QL75_UX280_CR0,0,280,414_.jpg",2003,1h 44m,R,5.7,71K,"Set a few days after the original, a championship basketball team's bus is attacked by The Creeper, the winged, flesh-eating terror, on the last day of his 23-day feeding frenzy.","Set days original , championship basketball team bus attacked Creeper , winged , flesh - eating terror , day 23 - day feeding frenzy ."
6367,Family Switch,"https://m.media-amazon.com/images/M/MV5BYWMyYWI0M2MtZDk2My00MmFmLWEzZTgtYjIxZjMyODcwNGJjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX280_CR0,0,280,414_.jpg",2023,1h 46m,PG,5.7,26K,"When a chance encounter with an astrological reader causes the Walkers to wake up to a full body switch, can they unite to land a promotion, college interview, record deal, and soccer tryout?","chance encounter astrological reader causes Walkers wake body switch , unite land promotion , college interview , record deal , soccer tryout ?"
6368,The Paperboy,"https://m.media-amazon.com/images/M/MV5BMTcxMzI3OTQ5MF5BMl5BanBnXkFtZTcwMzA0NzcxOA@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2012,1h 47m,R,5.7,40K,A reporter returns to his Florida hometown to investigate a case involving a death row inmate.,reporter returns Florida hometown investigate case involving death row inmate .
6369,The Pink Panther,"https://m.media-amazon.com/images/M/MV5BNGI2MjVlNzEtZDg1ZS00MGU1LWFhNTQtNzMwZDViOWRkNzhkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX280_CR0,1,280,414_.jpg",2006,1h 33m,PG,5.7,93K,Bumbling Inspector Clouseau must solve the murder of a famous soccer coach and find out who stole the infamous Pink Panther diamond.,Bumbling Inspector Clouseau solve murder famous soccer coach find stole infamous Pink Panther diamond .
6370,Percy Jackson: Sea of Monsters,"https://m.media-amazon.com/images/M/MV5BYmE4MThmY2UtNDYxOC00YmFkLTg1NGEtMTQ3YTFmZjdhZmRiXkEyXkFqcGdeQXVyNjA3MDQ1NzY@._V1_QL75_UX280_CR0,1,280,414_.jpg",2013,1h 46m,PG,5.7,127K,"In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters, to find the mythical Golden Fleece, all the while trying to stop an ancient evil from rising.","order restore dying safe haven , son Poseidon friends embark quest Sea Monsters , find mythical Golden Fleece , trying stop ancient evil rising ."
6371,Bad Teacher,"https://m.media-amazon.com/images/M/MV5BMTQ5NDI4MDM0Nl5BMl5BanBnXkFtZTcwNDYwODU2NA@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2011,1h 32m,R,5.7,213K,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her.","lazy , incompetent middle school teacher hates job , students , co - workers forced return teaching money breast implants wealthy fiancé dumps ."
6372,The Nutty Professor,"https://m.media-amazon.com/images/M/MV5BMTcwODlmZDktNWRkOC00NTFlLTkyMjQtYWUxMzZkNDE4MGVmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX280_CR0,4,280,414_.jpg",1996,1h 35m,PG-13,5.7,124K,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,Grossly overweight good - hearted professor Sherman Klump takes special chemical turns slim obnoxious Buddy Love .
6373,The Rental,"https://m.media-amazon.com/images/M/MV5BMjMwOGEyMTQtMDllMC00YTU3LTgyNzktYmEwY2Y4MjQzYmRkXkEyXkFqcGdeQXVyMjM4OTYzMTQ@._V1_QL75_UX280_CR0,0,280,414_.jpg",2020,1h 28m,R,5.7,39K,Two couples rent a vacation home for what should be a celebratory weekend get-away.,couples rent vacation home celebratory weekend - away .
6374,Freddy vs. Jason,"https://m.media-amazon.com/images/M/MV5BODNlNWVjOTMtZjVjYy00MzRjLTg2MmQtNTM3MWVmZjFjYzgwXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UY414_CR8,0,280,414_.jpg",2003,1h 37m,R,5.7,128K,"Freddy Krueger and Jason Voorhees return to terrorize the teenagers of Elm Street. Only this time, they're out to get each other, too.","Freddy Krueger Jason Voorhees return terrorize teenagers Elm Street . time , , ."
6375,G.I. Joe: The Rise of Cobra,"https://m.media-amazon.com/images/M/MV5BMTQzMTU1NzQwNl5BMl5BanBnXkFtZTcwNDg4NzMzMw@@._V1_QL75_UX280_CR0,0,280,414_.jpg",2009,1h 58m,PG-13,5.7,215K,"An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer.","elite military unit comprised special operatives known G.I. Joe , operating Pit , takes evil organization led notorious arms dealer ."
6376,Underworld: Blood Wars,"https://m.media-amazon.com/images/M/MV5BMjI5Njk0NTIyNV5BMl5BanBnXkFtZTgwNjU4MjY5MDI@._V1_QL75_UX280_CR0,0,280,414_.jpg",2016,1h 31m,R,5.7,81K,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,Vampire death dealer Selene ( Kate Beckinsale ) fights end eternal war Lycan clan Vampire faction betrayed .
